[DEBUG] [2016-09-14 11:48:34,596] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:35,597] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:36,597] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:37,598] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:38,598] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:39,599] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:40,599] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:41,600] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:42,600] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:43,601] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:44,601] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:45,601] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:46,602] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:47,602] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:48,603] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:49,603] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:50,604] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:51,605] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:52,605] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:53,606] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:54,606] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:55,607] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:56,607] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:57,608] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:58,608] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:48:59,609] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:00,609] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:01,610] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:02,610] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:03,611] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:04,879] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:05,880] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:06,880] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:07,881] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:08,881] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:09,882] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:10,882] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:11,883] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:12,883] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:14,946] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:15,947] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:16,947] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:17,948] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:18,948] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:19,949] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:20,949] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:21,950] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:22,950] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:23,951] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:24,951] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:25,952] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:26,953] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:27,953] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:28,954] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:29,954] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:30,955] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:31,955] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:32,956] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:33,956] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:34,957] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:36,024] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:37,024] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:38,218] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
[DEBUG] [2016-09-14 11:49:39,219] [treq_demo.py: 61] [Requests: 0 generated; 0 made; 0 done]
